legacy_source,legacy_target,legacy_edge_type,legacy_source_type,legacy_target_type,action,new_source,new_target,new_predicate,reason
note_family:木质,note:广藿香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:愈创木,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:无花果木,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:无花果树汁,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:柏树,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:檀香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:海地香根草,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:爪哇香根草,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:琥珀木质香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:皮革,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:紫檀木,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:红雪松香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:阿特拉斯雪松,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:雪松,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:雪松香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:香根草,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:木质,note:香桃木,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:果香,note:无花果汁,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:果香,note:玫瑰浆果,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:果香,note:荔枝,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:果香,note:覆盆子,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:果香,note:黑醋栗花蕾,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:佛手柑,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:柚子,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:柠檬,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:红柑,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:苦橙,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:苦橙花,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:葡萄柚,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:青柑,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:柑橘,note:青橘,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:乳香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:安息香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:岩玫瑰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:岩蔷薇,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:没药,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:焚香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:琥珀,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:琥珀木质香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:白松香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:秘鲁香脂,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:红没药,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:树脂琥珀,note:龙涎香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:海洋矿物,note:焦土香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:海洋矿物,note:白陶土香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:仙客来,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:依兰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:依兰香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:千叶玫瑰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:含羞草,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:土耳其玫瑰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:大马士革及千叶玫瑰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:大马士革玫瑰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:天竺葵,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:康乃馨,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:晚香玉,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:橙花,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:橙花油,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:水仙,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:永生花,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:波旁玫瑰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:洋甘菊,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:玉兰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:玫瑰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:玫瑰浆果,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:玫瑰醚,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:白小苍兰,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:紫藤,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:苦橙花,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:茉莉,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:茉莉香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:金银花,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:鸢尾,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:花香,note:黄葵,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:抹茶香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:白茶香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:蜂蜜,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:蜂蜡,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:阿拉比卡咖啡,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:零陵香豆,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:香草,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:香草香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:香豆,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:马黛茶,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:马黛茶香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:茶香美食,note:麦麸香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:当归根,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:无花果叶,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:杜松子,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:柠檬桉,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:柠檬草,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:洋蓟,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:百里香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:紫罗兰叶,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:苔藓香精,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:苦橙叶,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:莎草油,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
