product_concept_key,product_name,core_family,product_form,sku_count,scent_identity_status,scent_identity_values,note_status,note_values,scent_profile_status,scent_profile_values,function_status,function_values,function_evidence_fields,scene_status,scene_values,scene_evidence_fields,user_need_status,user_need_values,user_need_evidence_fields,care_status,care_values,care_evidence_fields,inspiration_status,inspiration_evidence_fields,material_status,material_values,material_evidence_fields,craft_status,craft_evidence_fields,compatibility_status,evidence_field_count,evidence_fields,direct_semantic_dimension_count,manual_review_flags,source_url
BODYBODYSCRUB1::石榴润泽去角质霜,石榴润泽去角质霜,身体护理,去角质霜,1,none,,none,,none,,direct,润肤,formule_text,none,,,none,,,none,,,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|formule_text,1,formula_present_without_note_evidence|usage_text_requires_instruction_review,https://www.diptyque-cn.com/p/smoothing-body-polish-200ml-3.html
BODYGEL1::希腊无花果香调洁肤露,希腊无花果香调洁肤露,身体护理,洁肤露,1,direct,希腊无花果,direct,无花果叶|无花果木|无花果树汁|黑胡椒,none,,candidate,洁肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|formule_text,2,long_description_semantics_untyped,https://www.diptyque-cn.com/p/philosykos-cleansing-hand-and-body-gel-1.html
BODYGEL2::奥费恩洁肤露,奥费恩洁肤露,身体护理,洁肤露,1,direct,奥费恩,direct,杜松子|茉莉|雪松|零陵香豆,none,,candidate,洁肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|formule_text,2,long_description_semantics_untyped,https://www.diptyque-cn.com/p/orpheon-cleansing-hand-and-body-gel-1.html
BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,身体护理,洁肤露,1,candidate,肌肤之花,direct,粉红胡椒|鸢尾|麝香|黄葵籽,none,,direct,留香,pdp_long_description,none,,,none,,,none,,,direct,story_text,none,,,none,,none,4,pdp_short_description|pdp_long_description|story_text|formule_text,3,scent_identity_name_only,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html
BODYGEL4::纸上洁肤露,纸上洁肤露,身体护理,洁肤露,1,direct,纸上,direct,含羞草|白麝香,none,,direct,润肤,pdp_long_description,none,,,none,,,none,,,direct,story_text,none,,,none,,none,4,pdp_short_description|pdp_long_description|story_text|formule_text,4,,https://www.diptyque-cn.com/p/papier-cleansing-hand-and-body-gel-1.html
BODYGEL5::玫瑰香氛洁肤露,玫瑰香氛洁肤露,身体护理,洁肤露,1,candidate,玫瑰,direct,千叶玫瑰|大马士革玫瑰|龙涎香,none,,candidate,洁肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|formule_text,1,long_description_semantics_untyped|scent_identity_name_only,https://www.diptyque-cn.com/p/rose-cleansing-hand-and-body-gel-1.html
BODYLOT1::清新身体乳,清新身体乳,身体护理,身体乳,1,none,,none,,none,,candidate,润肤,,direct,沐浴后,usage_tips_text,none,,,none,,,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|formule_text,1,formula_present_without_note_evidence|usage_text_requires_instruction_review,https://www.diptyque-cn.com/p/fresh-lotion-for-the-body-1.html
BODYLOTIONS1::杜桑香氛润肤乳,杜桑香氛润肤乳,身体护理,润肤乳,1,candidate,杜桑,direct,晚香玉|橙花|茉莉,none,,candidate,润肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|formule_text,1,long_description_semantics_untyped|scent_identity_name_only,https://www.diptyque-cn.com/p/doson-hand-and-body-lotion-1.html
BODYLOTIONS2::晚香玉室内喷雾,晚香玉 - 室内喷雾,家居香氛,室内喷雾,1,direct,晚香玉,none,,direct,花香调,candidate,扩香,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|usage_tips_text|caracteristics_text,2,usage_text_requires_instruction_review,https://www.diptyque-cn.com/p/tubereuse-tuberose-room-spray.html
BODYLOTIONS3::橙花室内喷雾,橙花 - 室内喷雾,家居香氛,室内喷雾,1,direct,橙花,none,,direct,花香调,candidate,扩香,,none,,,none,,,none,,,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,long_description_semantics_untyped|usage_text_requires_instruction_review,https://www.diptyque-cn.com/p/fleur-d-oranger-orange-blossom-room-spray.html
BODYLOTIONS::玫瑰香调润肤乳,玫瑰香调 - 润肤乳,身体护理,润肤乳,1,direct,玫瑰香调,direct,千叶玫瑰|大马士革玫瑰|龙涎香,none,,candidate,润肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|formule_text,2,long_description_semantics_untyped,https://www.diptyque-cn.com/p/eau-rose-hand-and-body-lotion-1.html
BODYOIL::杜桑柔肤沐浴油,杜桑柔肤沐浴油,身体护理,沐浴油,1,direct,杜桑,direct,晚香玉|橙花|茉莉,none,,candidate,洁肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|formule_text,2,long_description_semantics_untyped,https://www.diptyque-cn.com/p/do-son-shower-oil-1.html
BODYOMBBGEL::影中之水香氛洁肤露,影中之水香氛洁肤露,身体护理,洁肤露,1,candidate,影中之水,direct,玫瑰|苦橙叶|黑醋栗叶|黑醋栗花蕾,none,,direct,润肤|留香,pdp_long_description,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|description_text,2,scent_identity_name_only,https://www.diptyque-cn.com/p/ombb-gel-200ml.html
BODYOMBBLOTION::影中之水香氛润肤乳,影中之水香氛润肤乳,身体护理,润肤乳,1,candidate,影中之水,direct,玫瑰|苦橙叶|黑醋栗叶|黑醋栗花蕾,none,,direct,留香,pdp_short_description,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|description_text,2,scent_identity_name_only,https://www.diptyque-cn.com/p/ombb-lotion-200ml.html
BODYORPHBLOTION::奥费恩香调润肤乳,奥费恩香调润肤乳,身体护理,润肤乳,1,direct,奥费恩,direct,杜松子|茉莉|雪松|香豆,none,,direct,留香,formule_text,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|formule_text,3,,https://www.diptyque-cn.com/p/orphblotion-hand-and-body-lotion.html
BODYSATINOILV1::柔滑多效滋养油,柔滑多效滋养油,身体护理,滋养油,1,none,,none,,none,,candidate,润肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|usage_tips_text|formule_text,0,formula_present_without_note_evidence|usage_text_requires_instruction_review,https://www.diptyque-cn.com/p/satin-oil-for-body-and-hair-1.html
BODYSENSBLOT::感官之水香氛润肤乳,感官之水香氛润肤乳,身体护理,润肤乳,1,candidate,感官之水,none,,direct,果香调,candidate,润肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|description_text,1,formula_present_without_note_evidence|long_description_semantics_untyped|scent_identity_name_only,https://www.diptyque-cn.com/p/ssensblot-gwp-1.html
BODYSENSHCREAM::感官之水香氛护手霜,感官之水香氛护手霜,身体护理,护手霜,1,candidate,感官之水,none,,direct,果香调,candidate,润肤,,none,,,none,,,none,,,none,,none,,,none,,none,3,pdp_short_description|pdp_long_description|description_text,1,formula_present_without_note_evidence|long_description_semantics_untyped|scent_identity_name_only,https://www.diptyque-cn.com/p/home-senshcream-1.html
BODYSHW1::去角质手部清洁露,去角质手部清洁露,身体护理,清洁露,1,none,,none,,none,,direct,洁肤,formule_text,none,,,none,,,none,,,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|formule_text,1,formula_present_without_note_evidence|usage_text_requires_instruction_review,https://www.diptyque-cn.com/p/exfoliating-hand-wash-1.html
