"relation_id","source_product_key","source_product_name","relation_type","target_product_key","target_product_name","relation_label","scenario","evidence_type","evidence_field","evidence_text","evidence_url","confidence","review_status","reviewer","reviewed_at","notes"
"REL-26417EF4DD94","CAPSULES::橙花电子扩香器香氛补充包","橙花 - 电子扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/fleur-d-oranger-orange-blossom-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-530EA8A6F690","CAPSULES::橙花电子扩香器香氛补充包","橙花 - 电子扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/fleur-d-oranger-orange-blossom-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-E8143DCD52BA","CAPSULES7::含羞草扩香器香氛补充包","含羞草扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/mimosa-insert-1.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-864C4C61735D","CAPSULES7::含羞草扩香器香氛补充包","含羞草扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/mimosa-insert-1.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-74910429F829","CAPSULES::琥珀电子扩香器香氛补充包","琥珀 - 电子扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/ambre-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-79DD928C51AB","CAPSULES::琥珀电子扩香器香氛补充包","琥珀 - 电子扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/ambre-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-EE32F9679CA8","CAPSULES2::浆果香扩香器香氛补充包","浆果香扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/baies-berries-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-9C455643D93B","CAPSULES2::浆果香扩香器香氛补充包","浆果香扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/baies-berries-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-B3CF7C96D513","CAPSULES4::玫瑰扩香器香氛补充包","玫瑰扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/roses-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-E3BE32F0D89A","CAPSULES4::玫瑰扩香器香氛补充包","玫瑰扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/roses-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-3722215CC1B5","CAPSULES3::生姜扩香器香氛补充包","生姜扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/gingembre-ginger-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-460095CCE7E6","CAPSULES3::生姜扩香器香氛补充包","生姜扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/gingembre-ginger-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-921A15C66E97","CAPSULES1::圣日尔曼大道34号扩香器香氛补充包","圣日尔曼大道34号扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/34-boulevard-saint-germain-insert-1.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-004DF469EE38","CAPSULES1::圣日尔曼大道34号扩香器香氛补充包","圣日尔曼大道34号扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/34-boulevard-saint-germain-insert-1.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-142D9AF00146","CAPSULES5::晚香玉扩香器香氛补充包","晚香玉扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/tubereuse-tuberose-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-A4AC3F660F36","CAPSULES5::晚香玉扩香器香氛补充包","晚香玉扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/tubereuse-tuberose-insert.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-6EBA98D7082F","CAPSULES6::希腊无花果扩香器香氛补充包","希腊无花果扩香器香氛补充包","ACCESSORY_FOR","HOMEELECPLUG::便携式电子扩香器","便携式电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/cartouche-figuier-1.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"REL-4ABEF3A8E8A0","CAPSULES6::希腊无花果扩香器香氛补充包","希腊无花果扩香器香氛补充包","ACCESSORY_FOR","HOMEELECDIFCN::电子扩香器","电子扩香器","适配","电子扩香","official_product_copy","usage_tips_text","-适用于车载扩香器、便携式电子扩香器、电子扩香器。 -请参考每种扩香产品标签说明，了解相应的使用建议。","https://www.diptyque-cn.com/p/cartouche-figuier-1.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方使用说明明确列出适用的具体电子扩香器商品。"
"SEM-DFFAD5049635","BODYOMBBGEL::影中之水香氛洁肤露","影中之水香氛洁肤露","LAYER_WITH","EDPOMBREP75C::影中之水淡香精","影中之水 - 淡香精","层叠搭配","身体护理后的香气叠加","official_product_copy+verified_collection+curatorial_review","description_text","依心情与时刻，可单独使用，亦可层叠搭配。","https://www.diptyque-cn.com/p/ombb-gel-200ml.html","0.86","approved","codex_curatorial_review","2026-07-22","审核通过：官方文案明确允许层叠使用；具体目标并非品牌点名，而是经人工审核限定为同系列淡香水或淡香精。"
"SEM-7236D5AAEEE6","BODYOMBBGEL::影中之水香氛洁肤露","影中之水香氛洁肤露","LAYER_WITH","EDTOMBRE::影中之水淡香水","影中之水 - 淡香水","层叠搭配","身体护理后的香气叠加","official_product_copy+verified_collection+curatorial_review","description_text","依心情与时刻，可单独使用，亦可层叠搭配。","https://www.diptyque-cn.com/p/ombb-gel-200ml.html","0.86","approved","codex_curatorial_review","2026-07-22","审核通过：官方文案明确允许层叠使用；具体目标并非品牌点名，而是经人工审核限定为同系列淡香水或淡香精。"
"SEM-A92EA74193EA","BODYOMBBLOTION::影中之水香氛润肤乳","影中之水香氛润肤乳","LAYER_WITH","EDPOMBREP75C::影中之水淡香精","影中之水 - 淡香精","层叠搭配","身体护理后的香气叠加","official_product_copy+verified_collection+curatorial_review","description_text","依心情与时刻，可单独使用，亦可层叠搭配。","https://www.diptyque-cn.com/p/ombb-lotion-200ml.html","0.86","approved","codex_curatorial_review","2026-07-22","审核通过：官方文案明确允许层叠使用；具体目标并非品牌点名，而是经人工审核限定为同系列淡香水或淡香精。"
