product_concept_key,product_name,core_family,predicate,object_type,object_name,source_field,evidence_excerpt,source_url,review_status,display_label,relation_layer,generation_method
BODYBODYSCRUB1::石榴润泽去角质霜,石榴润泽去角质霜,身体护理,HAS_FUNCTION,Function,润肤,formule_text,水蜜桃油可舒缓并滋润肌肤，令肌肤更加柔软。,https://www.diptyque-cn.com/p/smoothing-body-polish-200ml-3.html,approved,功能,fact,controlled_source_pattern
BODYBODYSCRUB1::石榴润泽去角质霜,石榴润泽去角质霜,身体护理,HAS_FUNCTION,Function,去角质,pdp_short_description,这款去角质霜结合了荷荷巴与矽土颗粒，能温和祛肌肤角质。,https://www.diptyque-cn.com/p/smoothing-body-polish-200ml-3.html,approved,功能,fact,controlled_source_pattern
BODYBODYSCRUB1::石榴润泽去角质霜,石榴润泽去角质霜,身体护理,SERVES_NEED,UserNeed,肌肤护理,product_form,已审核本体规则：身体护理 / 去角质霜 -> 肌肤护理,https://www.diptyque-cn.com/p/smoothing-body-polish-200ml-3.html,derived_from_approved_rule,需求,derived_intent,controlled_ontology_rule
BODYGEL1::希腊无花果香调洁肤露,希腊无花果香调洁肤露,身体护理,HAS_FUNCTION,Function,洁肤,product_form,已审核本体规则：身体护理 / 洁肤露 -> 洁肤,https://www.diptyque-cn.com/p/philosykos-cleansing-hand-and-body-gel-1.html,derived_from_approved_rule,功能,derived_intent,controlled_ontology_rule
BODYGEL1::希腊无花果香调洁肤露,希腊无花果香调洁肤露,身体护理,SERVES_NEED,UserNeed,肌肤护理,product_form,已审核本体规则：身体护理 / 洁肤露 -> 肌肤护理,https://www.diptyque-cn.com/p/philosykos-cleansing-hand-and-body-gel-1.html,derived_from_approved_rule,需求,derived_intent,controlled_ontology_rule
BODYGEL2::奥费恩洁肤露,奥费恩洁肤露,身体护理,HAS_FUNCTION,Function,洁肤,product_form,已审核本体规则：身体护理 / 洁肤露 -> 洁肤,https://www.diptyque-cn.com/p/orpheon-cleansing-hand-and-body-gel-1.html,derived_from_approved_rule,功能,derived_intent,controlled_ontology_rule
BODYGEL2::奥费恩洁肤露,奥费恩洁肤露,身体护理,SERVES_NEED,UserNeed,肌肤护理,product_form,已审核本体规则：身体护理 / 洁肤露 -> 肌肤护理,https://www.diptyque-cn.com/p/orpheon-cleansing-hand-and-body-gel-1.html,derived_from_approved_rule,需求,derived_intent,controlled_ontology_rule
BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,身体护理,HAS_FUNCTION,Function,留香,pdp_long_description,蕴含丰富乳木果油，为肌肤留下清香，同时柔软肤触。麝香映衬着鸢尾花和黄葵种子的香气，呈现出令人沉醉的感官世界。,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html,approved,功能,fact,controlled_source_pattern
BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,身体护理,HAS_FUNCTION,Function,洁肤,product_form,已审核本体规则：身体护理 / 洁肤露 -> 洁肤,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html,derived_from_approved_rule,功能,derived_intent,controlled_ontology_rule
BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,身体护理,SERVES_NEED,UserNeed,肌肤护理,product_form,已审核本体规则：身体护理 / 洁肤露 -> 肌肤护理,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html,derived_from_approved_rule,需求,derived_intent,controlled_ontology_rule
