token,token_role,core_family,product_form,collection_or_scent,material_or_craft,marketing_tag,variant_tag,drop_token,notes
探索全部,drop,,,,,,,1,删除
人气精选,marketing_tag,,,,,人气精选,,0,保留为运营标签
当季精选,marketing_tag,,,,,当季精选,,0,保留为运营标签
臻选礼赠,marketing_tag,,,,,臻选礼赠,,0,保留为运营标签
夏日限定系列,marketing_tag,,,,,夏日限定系列,,0,保留为季节标签
个人香氛,core_family,个人香氛,,,,,,0,核心大类
家居香氛,core_family,家居香氛,,,,,,0,核心大类
身体护理,core_family,身体护理,,,,,,0,核心大类
艺术家居,core_family,艺术家居,,,,,,0,核心大类
淡香水,product_form,个人香氛,淡香水,,,,,0,个人香氛下的小类
淡香精,product_form,个人香氛,淡香精,,,,,0,个人香氛下的小类
发香喷雾,product_form,个人香氛,发香喷雾,,,,,0,个人香氛下的小类
香膏,product_form,个人香氛,香膏,,,,,0,个人香氛下的小类
香氛蜡烛,product_form,家居香氛,香氛蜡烛,,,,,0,家居香氛下的小类
经典香氛蜡烛,product_form,家居香氛,经典香氛蜡烛,,,,,0,家居香氛下的小类
迷你香氛蜡烛,product_form,家居香氛,迷你香氛蜡烛,,,,,0,家居香氛下的小类
室内香氛,product_form,家居香氛,室内香氛,,,,,0,家居香氛下的小类
扩香精,product_form,家居香氛,扩香精,,,,,0,家居香氛下的小类
室内扩香摆件,product_form,家居香氛,室内扩香摆件,,,,,0,家居香氛下的小类
电子扩香器,product_form,家居香氛,电子扩香器,,,,,0,家居香氛下的小类
烛罩,product_form,艺术家居,烛罩,,,,,0,艺术家居下的小类
蜡烛配件,product_form,艺术家居,蜡烛配件,,,,,0,艺术家居下的小类
托盘,product_form,艺术家居,托盘,,,,,0,艺术家居下的小类
花瓶,product_form,艺术家居,花瓶,,,,,0,艺术家居下的小类
烛台,product_form,艺术家居,烛台,,,,,0,艺术家居下的小类
奥费恩,collection_or_scent,,,奥费恩,,,,0,系列或香型
杜桑,collection_or_scent,,,杜桑,,,,0,系列或香型
无花果,collection_or_scent,,,无花果,,,,0,系列或香型
浆果香,collection_or_scent,,,浆果香,,,,0,系列或香型
玫瑰香调,collection_or_scent,,,玫瑰香调,,,,0,系列或香型
补充装,variant_tag,,,,,,补充装,0,销售形态标签
玻璃,material_or_craft,,,,玻璃,,,0,材质
陶瓷,material_or_craft,,,,陶瓷,,,0,材质
木质,material_or_craft,,,,木质,,,0,材质
金属,material_or_craft,,,,金属,,,0,材质
